category, question, rightAnswer, answers (variable column size)
"Geografía","¿Cuál es la capital de España?","1","Barcelona","Madrid","Valencia","Sevilla"
"Geografía","¿En qué continente se encuentra Brasil?","0","América del Sur","Europa","África","Asia"
"Geografía","¿Cuál es el río más largo del mundo?","0","Amazonas","Nilo","Yangtsé","Mississippi"
"Geografía","¿Cuál es la montaña más alta del mundo?","0","Everest","K2","Kangchenjunga","Lhotse"
"Geografía","¿Cuál es el país más grande del mundo en extensión territorial?","0","Rusia","Canadá","China","Estados Unidos"
"Geografía","¿Cuál es el punto más bajo de la Tierra?","0","Mar Muerto","Valle de la Muerte","Fosa de las Marianas","Desierto del Sahara"
"Geografía","¿Cuál es la ciudad más poblada del mundo?","0","Tokio","Shanghai","Ciudad de México","Nueva Delhi"
"Geografía","¿En qué país se encuentra la Gran Muralla China?","1","Japón","China","Corea del Sur","India"
"Geografía","¿Cuál es el océano más grande del mundo?","0","Océano Pacífico","Océano Atlántico","Océano Índico","Océano Ártico"
"Geografía","¿En qué país se encuentra la Torre Eiffel?","1","Italia","Francia","Alemania","España"
"Geografía","¿Cuál es el desierto más grande del mundo?","0","Sahara","Gobi","Kalahari","Antártico"
"Geografía","¿Cuál es la capital de Japón?","2","Pekín","Seúl","Tokio","Bangkok"
"Geografía","¿Dónde se encuentra la famosa estatua del Cristo Redentor?","0","Río de Janeiro, Brasil","Buenos Aires, Argentina","Ciudad de México, México","Santiago, Chile"
"Geografía","¿En qué país se encuentra el Taj Mahal?","0","India","China","Japón","Rusia"
"Geografía","¿Cuál es el país más grande de Sudamérica?","0","Brasil","Argentina","Perú","Colombia"
"Geografía","¿En qué país se encuentra el Canal de Panamá?","1","Costa Rica","Panamá","Colombia","Nicaragua"
"Geografía","¿Cuál es la cascada más alta del mundo?","0","Angel Falls","Niagara Falls","Iguazu Falls","Victoria Falls"
"Geografía","¿En qué país se encuentra la Gran Barrera de Coral?","0","Australia","Brasil","México","Canadá"
"Geografía","¿Cuál es la moneda oficial de Japón?","0","Yen","Euro","Dólar","Peso"
